Word,WordFreq_count,Wordfreq_localrank,Wordfreq_globalrank,Concreteness,ECoG_memobserved_weigthed,ECoG_memobserved_unweighted,AMT_memobserved,Model_presented_cue,Model_all_cue,ModelListMem
    {'ANT'   },4287,58,5884,4.86,0.1724,0.2778,0.5522,0.0002238,0.0025482,0.0026
    {'APE'   },2293,27,8737,4.79,0.2069,0.4,0.7955,0.0001179,0.002646,0.0031
    {'ARK'   },2086,2,19253,4.67,0.2414,0.4118,0.6842,0.0001177,0.0014764,0.0015
    {'ARM'   },91327,286,491,4.96,0.3103,0.4091,0.7037,0.0004369,0.0040046,0.0049
    {'AXE'   },1314,11,11689,5,0.1724,0.3333,0.5392,0.0001447,0.0026527,0.0027
    {'BADGE' },3130,45,6913,4.93,0.3448,0.4762,0.3294,0.0002875,0.0025805,0.0032
    {'BAG'   },43693,259,1009,4.9,0.2414,0.3684,0.6545,0.0003707,0.0056754,0.0069
    {'BALL'  },47767,263,913,5,0.1034,0.2727,0.5049,0.000247,0.0048777,0.0057
    {'BAND'  },32654,237,1281,4.68,0.1724,0.25,0.5143,0.0001233,0.0033727,0.004
    {'BANK'  },70719,276,663,4.78,0.2069,0.375,0.6333,0.0001193,0.0017977,0.0022
    {'BARN'  },7369,114,4140,4.79,0.3103,0.45,0.7053,0.00039,0.0037999,0.0046
    {'BAT'   },8604,126,3720,5,0.1379,0.2105,0.6078,0.0003015,0.0039844,0.005
    {'BATH'  },8529,120,3920,4.85,0.2759,0.5,0.45,0.0002389,0.003126,0.0033
    {'BEACH' },32596,197,1947,4.79,0.3103,0.4737,0.604,0.0002594,0.0035262,0.0043
    {'BEAK'  },1383,12,11378,4.96,0.1379,0.2667,0.931,0.0002367,0.0026082,0.0028
    {'BEAN'  },16665,182,2367,5,0.0345,0.1111,0.4681,0.0001204,0.0037339,0.005
    {'BEAR'  },23972,217,1624,4.88,0.1724,0.3125,0.6712,0.0001966,0.0041343,0.0049
    {'BED'   },64791,274,683,5,0.2414,0.3684,0.5213,0.000394,0.0052807,0.0065
