ANT	58	5884	4287
APE	27	8737	2293
ARK	2	19253	2086
ARM	286	491	91327
AXE	11	11689	1314
BADGE	45	6913	3130
BAG	259	1009	43693
BALL	263	913	47767
BAND	237	1281	32654
BANK	276	663	70719
BARN	114	4140	7369
BAT	126	3720	8604
BATH	120	3920	8529
BEACH	197	1947	32596
BEAK	12	11378	1383
BEAN	182	2367	16665
BEAR	217	1624	23972
BED	274	683	64791
BEE	103	4283	6792
BENCH	165	2799	12596
BIRD	253	1123	39645
BLOOM	48	6677	5610
BLUSH	22	9190	2088
BOARD	275	667	62929
BOAT	243	1235	35016
BOMB	196	2002	19569
BOOK	296	241	168369
BOOT	183	2362	16370
BOWL	204	1839	32785
BOX	269	795	53658
BOY	289	382	116082
BRANCH	205	1817	21396
BREAD	189	2125	18373
BRICK	144	3337	9728
BRIDGE	213	1694	23805
BROOM	18	9625	2065
BRUSH	148	3244	107765
BUSH	102	4294	106659
CAGE	109	4176	7160
CAKE	174	2556	14858
CALF	62	5698	4341
CANE	69	5358	5105
CAPE	16	9869	6875
CAR	294	289	142725
CART	116	4085	7292
CASH	212	1731	23227
CAT	207	1785	23149
CAVE	131	3588	9595
CHAIR	262	947	46578
CHALK	21	9287	1949
CHEEK	169	2690	14550
CHIEF	227	1450	29240
CHIN	118	3978	8750
CLAY	78	4816	10056
CLIFF	99	4350	8558
CLOCK	172	2651	13389
CLOTH	134	3566	8899
CLOUD	199	1924	20976
CLOWN	43	6991	3109
COIN	93	4415	6463
CONE	57	5953	4104
CORD	98	4352	6576
CORN	178	2464	14956
COUCH	140	3398	10022
COW	152	3097	10735
CRANE	30	8545	4280
CROW	29	8557	4917
CROWN	72	5150	7642
CUBE	59	5796	4476
CUP	270	780	61009
DART	39	7344	3034
DEER	160	2928	12919
DESK	215	1665	25304
DIME	37	7646	2770
DITCH	42	6992	3068
DOCK	76	4960	5769
DOG	272	753	57135
DOLL	122	3853	7969
DOOR	292	343	134676
DRESS	228	1441	29408
DRUM	113	4148	6896
DUCK	136	3545	9199
EAR	233	1341	31940
EEL	8	13592	1035
EGG	232	1380	30682
ELF	7	13856	2103
FACE	293	330	137165
FAN	250	1210	6891
FARM	238	1262	32657
FENCE	171	2669	13198
FILM	280	593	71725
FISH	261	948	45922
FLAG	179	2460	14632
FLAME	149	3220	10447
FLEA	20	9353	2154
FLOOR	277	639	67238
FLUTE	24	9010	2010
FOAM	52	6260	3766
FOG	75	4961	5592
FOOD	291	366	118201
FOOT	290	380	116290
FORK	124	3787	8481
FORT	28	8706	12288
FOX	38	7586	13077
FROG	68	5430	5209
FRUIT	214	1668	24055
FUDGE	4	15182	834
FUR	82	4744	6019
GATE	194	2020	19526
GEESE	66	5592	4693
GLASS	268	821	55823
GLOVE	151	3114	11011
GOAT	83	4718	6070
GOLD	239	1260	33706
GRAPE	79	4809	5809
GRASS	192	2025	19494
GUARD	235	1288	32605
HAND	298	174	242773
HAT	191	2026	19801
HAWK	34	8066	6933
HEART	288	460	91598
HEN	33	8078	2479
HILL	193	2022	43931
HOLE	248	1215	34949
HOOF	15	10326	1687
HOOK	123	3821	9252
HORN	127	3680	8954
HORSE	236	1283	33376
HOSE	51	6309	3709
HOUSE	295	257	213652
ICE	244	1234	34674
INK	71	5247	5050
JAIL	175	2544	14380
JAR	101	4299	6910
JEEP	13	11201	3332
JET	150	3163	14708
JUDGE	254	1116	43496
JUICE	184	2324	17346
KEY	255	1094	39730
KITE	17	9720	1861
LAKE	186	2198	40194
LAMB	64	5655	6243
LAMP	119	3967	7941
LAND	282	566	77538
LAWN	159	2969	11529
LEAF	221	1564	25938
LEG	267	857	51067
LIP	218	1587	27462
LOCK	185	2235	16836
MAIL	176	2524	14034
MAP	223	1547	25533
MAT	61	5707	4533
MAZE	35	7823	2857
MILK	190	2044	19500
MOLE	25	8963	2059
MOON	177	2466	24158
MOOSE	32	8142	2589
MOTH	26	8740	2167
MOUSE	146	3326	10804
MOUTH	257	1061	43369
MUD	129	3636	8701
MUG	54	6180	3905
MULE	47	6700	3393
NAIL	133	3582	8962
NEST	111	4164	7067
NET	161	2901	11712
NOSE	210	1744	23670
OAK	90	4463	11358
OAR	6	15036	869
