SubjID,Trials,ri,ni,ACC
,,,,
53,15,-0.1855,15,0.06
29,35,-0.1578,35,0.0633
28,49,-0.2118,49,0.1367
52,52,-0.0742,52,0.2933
62,54,-0.0042,54,0.2639
66,60,-0.004,60,0.4123
39,67,-0.192,67,0.11
55,75,-0.1164,75,0.3267
34,75,0.0624,75,0.0933
38,77,0.0205,77,0.0467
50,83,-0.0713,83,0.5133
56,87,-0.1876,87,0.139
36,100,0.0428,100,0.12
64,108,-0.1068,108,0.1133
47,134,-0.2086,134,0.2567
40,151,-0.1261,151,0.3567
42,154,-0.0304,154,0.442
41,159,-0.0046,159,0.1367
26,160,-0.103,160,0.4067
58,163,-0.0886,163,0.4567
46,178,0.0601,178,0.48
43,207,0.0279,207,0.6667
35,215,0.0129,215,0.64
32,251,0.0911,251,0.8067
51,265,-0.0563,265,0.81
