SubjID,Trials,ri,ni,ACC
42,28,0.3502,28,0.442
64,51,0.3226,51,0.1133
66,13,0.3013,13,0.4123
46,33,0.2794,33,0.48
29,16,0.2546,16,0.0633
40,39,0.2231,39,0.3567
36,51,0.2128,51,0.12
34,40,0.1711,40,0.0933
55,23,0.1472,23,0.3267
39,31,0.1377,31,0.11
41,93,0.1357,93,0.1367
58,24,0.1226,24,0.4567
26,35,0.099,35,0.4067
38,64,0.0946,64,0.0467
62,32,0.0361,32,0.2639
56,48,0.0307,48,0.139
35,22,0.0271,22,0.64
47,51,-0.0544,51,0.2567
51,20,-0.3075,20,0.81
,,,,
37,1,NaN,1,0.06
52,8,0.483,8,0.2933
28,8,0.2316,8,0.1367
43,7,0.1385,7,0.6667
57,2,-0.0587,2,0.0648
32,9,-0.0921,9,0.8067
50,6,-0.094,6,0.5133
53,6,-0.2398,6,0.06
33,4,-0.9387,4,0.2083
